,Code,Month,Temperature
0,AFG,01,-1.0496066875
1,AFG,02,1.57955589475
2,AFG,03,7.712855209999999
3,AFG,04,13.63923915
4,AFG,05,19.31863585
5,AFG,06,23.75938785
6,AFG,07,25.9113779
7,AFG,08,24.18805225
8,AFG,09,20.0443638
9,AFG,10,13.695210624999998
10,AFG,11,6.564589669999999
11,AFG,12,0.9975889058
12,AGO,01,22.53912785
13,AGO,02,22.78264325
14,AGO,03,22.6229564
15,AGO,04,22.5124331
16,AGO,05,22.1730887
17,AGO,06,20.3636988
18,AGO,07,20.18365015
19,AGO,08,22.1369822
20,AGO,09,24.132932750000002
21,AGO,10,24.420461
22,AGO,11,23.19679915
23,AGO,12,22.5363575
24,AIA,01,25.091136249999998
25,AIA,02,24.8064819
26,AIA,03,24.87678985
27,AIA,04,25.369778450000002
28,AIA,05,26.21344755
29,AIA,06,27.042591750000003
30,AIA,07,27.29110705
31,AIA,08,27.567605550000003
32,AIA,09,27.6090576
33,AIA,10,27.33696285
34,AIA,11,26.616485649999998
35,AIA,12,25.794523500000004
36,ALB,01,3.411233795
37,ALB,02,5.1158323150000005
38,ALB,03,7.8398118299999995
39,ALB,04,11.72217405
40,ALB,05,15.860833350000002
41,ALB,06,20.162010000000002
42,ALB,07,22.95183285
43,ALB,08,22.92401475
44,ALB,09,18.590010200000002
45,ALB,10,13.8933572
46,ALB,11,9.378548145
47,ALB,12,5.0738877449999995
48,AND,01,-2.2567154068849997
49,AND,02,-1.5573852504999999
50,AND,03,0.780500798
51,AND,04,3.678665135
52,AND,05,7.90553737
53,AND,06,12.631849675
54,AND,07,15.44667355
55,AND,08,14.959597825
56,AND,09,11.2057372
57,AND,10,7.618798795000001
58,AND,11,1.364044184
59,AND,12,-1.220808414
60,ARE,01,18.51671695
61,ARE,02,20.3887933
62,ARE,03,23.956782150000002
63,ARE,04,28.73845475
64,ARE,05,33.1234581
65,ARE,06,35.146974
66,ARE,07,36.658015649999996
67,ARE,08,36.5440805
68,ARE,09,33.87853815
69,ARE,10,29.986908749999998
70,ARE,11,25.1513256
71,ARE,12,20.45276845
72,ARG,01,21.852306000000002
73,ARG,02,20.8114184
74,ARG,03,18.54460005
75,ARG,04,14.97106765
76,ARG,05,10.832411500000001
77,ARG,06,8.159567635
78,ARG,07,7.606272385
79,ARG,08,9.638726025
80,ARG,09,12.366123824999999
81,ARG,10,15.492172149999998
82,ARG,11,18.48065
83,ARG,12,20.7514796
84,ARM,01,-5.898978255
85,ARM,02,-3.7498427205
86,ARM,03,1.16427130785
87,ARM,04,6.508887035000001
88,ARM,05,11.29487615
89,ARM,06,16.0176166
90,ARM,07,18.514794849999998
91,ARM,08,18.66420235
92,ARM,09,14.643002849999998
93,ARM,10,8.711621130000001
94,ARM,11,1.9723867670000002
95,ARM,12,-3.2189465665
96,ASM,01,27.126683050000004
97,ASM,02,27.108435150000002
98,ASM,03,27.2772781
99,ASM,04,27.38257155
100,ASM,05,27.204756149999998
101,ASM,06,26.89141995
102,ASM,07,26.410150249999997
103,ASM,08,26.26653135
104,ASM,09,26.33884285
105,ASM,10,26.55561525
106,ASM,11,26.78777465
107,ASM,12,26.91376195
108,ATG,01,25.1823471
109,ATG,02,24.9195678
110,ATG,03,25.0361649
111,ATG,04,25.5265168
112,ATG,05,26.36403335
113,ATG,06,27.018373150000002
114,ATG,07,27.1911071
115,ATG,08,27.44133605
116,ATG,09,27.53171395
117,ATG,10,27.300537100000003
118,ATG,11,26.71043095
119,ATG,12,25.86249245
120,AUS,01,28.480785500000003
121,AUS,02,27.716532649999998
122,AUS,03,25.99032865
123,AUS,04,22.61013665
124,AUS,05,18.2111433
125,AUS,06,15.118382725
126,AUS,07,14.785972325
127,AUS,08,16.7921513
128,AUS,09,20.4051223
129,AUS,10,23.92523515
130,AUS,11,26.1291226
131,AUS,12,27.812854249999997
132,AUT,01,-2.4863971539999996
133,AUT,02,-0.9590712937999999
134,AUT,03,2.5743820435
135,AUT,04,7.266883780000001
136,AUT,05,11.2511276
137,AUT,06,15.656594675
138,AUT,07,17.3062874
139,AUT,08,16.57834915
140,AUT,09,12.492777499999999
141,AUT,10,7.974940479999999
142,AUT,11,2.743327147885
143,AUT,12,-1.41035392125
144,AZE,01,0.64528207
145,AZE,02,2.2187970122
146,AZE,03,6.406246325
147,AZE,04,11.431550595000001
148,AZE,05,16.9493637
149,AZE,06,22.25414615
150,AZE,07,24.6042661
151,AZE,08,24.322816
152,AZE,09,19.68636545
153,AZE,10,13.647988175
154,AZE,11,7.25047137
155,AZE,12,2.769236719
156,BDI,01,20.719934950000003
157,BDI,02,20.952627749999998
158,BDI,03,20.790815950000002
159,BDI,04,20.361169
160,BDI,05,20.5702015
161,BDI,06,20.50595215
162,BDI,07,20.71055665
163,BDI,08,21.70303855
164,BDI,09,22.08316045
165,BDI,10,21.5390319
166,BDI,11,20.4306177
167,BDI,12,20.3904665
168,BEL,01,3.299686303
169,BEL,02,3.9587233945
170,BEL,03,6.42358473
171,BEL,04,9.815578460000001
172,BEL,05,13.305222975000001
173,BEL,06,16.691533525
174,BEL,07,18.3512362
175,BEL,08,17.76178515
176,BEL,09,15.018999475000001
177,BEL,10,11.528540725000001
178,BEL,11,7.07179187
179,BEL,12,4.338394190000001
180,BEN,01,26.8920453
181,BEN,02,29.440847650000002
182,BEN,03,31.0792899
183,BEN,04,30.762705349999997
184,BEN,05,29.22145155
185,BEN,06,27.43715015
186,BEN,07,26.1337855
187,BEN,08,25.4789574
188,BEN,09,25.978784150000003
189,BEN,10,27.2039706
190,BEN,11,27.85537195
191,BEN,12,26.88372075
192,BFA,01,25.51084395
193,BFA,02,28.78338715
194,BFA,03,32.045660299999994
195,BFA,04,33.1980075
196,BFA,05,32.357268399999995
197,BFA,06,30.12389245
198,BFA,07,27.806116550000002
199,BFA,08,26.580738750000002
200,BFA,09,27.33775265
201,BFA,10,29.12559665
202,BFA,11,28.4284584
203,BFA,12,26.014610349999998
204,BGD,01,17.99347565
205,BGD,02,21.43282735
206,BGD,03,25.6986681
207,BGD,04,28.204417
208,BGD,05,28.690679
209,BGD,06,28.980368399999996
210,BGD,07,28.7791425
211,BGD,08,28.776372900000002
212,BGD,09,28.6330613
213,BGD,10,27.2553641
214,BGD,11,23.559908999999998
215,BGD,12,19.54322385
216,BGR,01,0.833425381
217,BGR,02,2.9189308234999998
218,BGR,03,6.4833403
219,BGR,04,11.2815892
220,BGR,05,15.935149049999998
221,BGR,06,20.15834555
222,BGR,07,22.6930696
223,BGR,08,22.80700495
224,BGR,09,18.09567405
225,BGR,10,12.275721375
226,BGR,11,7.28442733
227,BGR,12,2.76937451185
228,BHR,01,17.40392915
229,BHR,02,17.92337645
230,BHR,03,20.735090550000002
231,BHR,04,24.40669255
232,BHR,05,28.955244299999997
233,BHR,06,32.073256
234,BHR,07,33.50224015
235,BHR,08,33.9787384
236,BHR,09,32.815698
237,BHR,10,29.675244099999997
238,BHR,11,24.8544739
239,BHR,12,19.7889573
240,BHS,01,23.10568105
241,BHS,02,23.1657205
242,BHS,03,23.46102505
243,BHS,04,24.653773949999998
244,BHS,05,25.896935000000003
245,BHS,06,27.387273099999998
246,BHS,07,28.11153065
247,BHS,08,28.352026000000002
248,BHS,09,27.9520592
249,BHS,10,26.958497299999998
250,BHS,11,25.278236749999998
251,BHS,12,24.1676937
252,BIH,01,0.8565408225000001
253,BIH,02,2.553267847
254,BIH,03,5.82945503
255,BIH,04,10.492024685
256,BIH,05,14.594114575
257,BIH,06,18.8490918
258,BIH,07,21.03720145
259,BIH,08,20.7118398
260,BIH,09,16.043922549999998
261,BIH,10,11.350742649999999
262,BIH,11,6.603845725000001
263,BIH,12,2.344246815
264,BLR,01,-4.087894175000001
265,BLR,02,-3.217873239
266,BLR,03,1.3576732688
267,BLR,04,8.126701255
268,BLR,05,13.844338775
269,BLR,06,17.94138705
270,BLR,07,19.4510703
271,BLR,08,18.68626955
272,BLR,09,13.409735375
273,BLR,10,7.395591489999999
274,BLR,11,2.58036639535
275,BLR,12,-1.2698593207
276,BLZ,01,23.3024532
277,BLZ,02,24.1992257
278,BLZ,03,25.4118068
279,BLZ,04,27.09970515
280,BLZ,05,27.812293399999998
281,BLZ,06,27.47802655
282,BLZ,07,27.26626835
283,BLZ,08,27.3946166
284,BLZ,09,27.257707149999998
285,BLZ,10,26.171499649999998
286,BLZ,11,24.39563505
287,BLZ,12,23.71184245
288,BOL,01,21.96476225
289,BOL,02,21.59677515
290,BOL,03,21.4939683
291,BOL,04,20.7058291
292,BOL,05,18.570828
293,BOL,06,17.706079
294,BOL,07,17.7225265
295,BOL,08,19.36312015
296,BOL,09,21.30458895
297,BOL,10,22.2825863
298,BOL,11,22.403423699999998
299,BOL,12,22.246087600000003
300,BRA,01,25.5457433
301,BRA,02,25.47961245
302,BRA,03,25.38482525
303,BRA,04,25.0245888
304,BRA,05,24.21276525
305,BRA,06,23.79934025
306,BRA,07,23.8247549
307,BRA,08,24.995951650000002
308,BRA,09,26.166834899999998
309,BRA,10,26.41257785
310,BRA,11,25.953747449999998
311,BRA,12,25.73063935
312,BRN,01,26.012456099999998
313,BRN,02,26.15514015
314,BRN,03,26.4456325
315,BRN,04,26.928364499999997
316,BRN,05,27.198463399999998
317,BRN,06,26.975095950000004
318,BRN,07,26.77687585
319,BRN,08,26.8078164
320,BRN,09,26.678422599999998
321,BRN,10,26.471241099999997
322,BRN,11,26.41792805
323,BRN,12,26.2794362
324,BTN,01,0.379122619
325,BTN,02,2.1720265346
326,BTN,03,5.127426405
327,BTN,04,8.340392445
328,BTN,05,11.335094649999998
329,BTN,06,14.29133505
330,BTN,07,15.077015424999999
331,BTN,08,15.0376701
332,BTN,09,13.783635749999998
333,BTN,10,9.922387675
334,BTN,11,5.64412638
335,BTN,12,2.624259284
336,BWA,01,25.837699450000002
337,BWA,02,25.5765491
338,BWA,03,24.45439435
339,BWA,04,21.663077
340,BWA,05,18.510659699999998
341,BWA,06,15.375562075
342,BWA,07,14.9437795
343,BWA,08,18.42039195
344,BWA,09,22.94706535
345,BWA,10,26.063941899999996
346,BWA,11,26.47569085
347,BWA,12,26.26559015
348,CAF,01,26.7192426
349,CAF,02,28.56022355
350,CAF,03,28.92573255
351,CAF,04,28.088597850000003
352,CAF,05,26.7477957
353,CAF,06,25.3787867
354,CAF,07,24.4821587
355,CAF,08,24.21436835
356,CAF,09,24.51212725
357,CAF,10,24.969730300000002
358,CAF,11,25.8154683
359,CAF,12,26.16657025
360,CAN,01,-19.66617925
361,CAN,02,-19.5815002
362,CAN,03,-14.046976050000001
363,CAN,04,-5.48174561
364,CAN,05,3.3053844275000004
365,CAN,06,10.49146735
366,CAN,07,14.164291075
367,CAN,08,12.583860475
368,CAN,09,7.064260095
369,CAN,10,-0.4430900555
370,CAN,11,-10.039548120000001
371,CAN,12,-16.899836475
372,CHE,01,-3.3452297695
373,CHE,02,-2.0500905035
374,CHE,03,1.332977649
375,CHE,04,5.44503315
376,CHE,05,9.273436205
377,CHE,06,13.788487850000001
378,CHE,07,15.587225175
379,CHE,08,14.81179045
380,CHE,09,11.321389675
381,CHE,10,7.241345470000001
382,CHE,11,1.63875334675
383,CHE,12,-2.452842360175
384,CHL,01,13.591498050000002
385,CHL,02,13.523744525000001
386,CHL,03,12.15125555
387,CHL,04,9.722466149999999
388,CHL,05,7.11043706
389,CHL,06,5.052507115
390,CHL,07,4.5599430750000005
391,CHL,08,5.5923868599999995
392,CHL,09,7.189157435
393,CHL,10,8.9462418
394,CHL,11,10.766276874999999
395,CHL,12,12.491764675
396,CHN,01,-7.38399997
397,CHN,02,-3.9101443599999994
398,CHN,03,2.5728979192
399,CHN,04,8.8004582
400,CHN,05,13.9563584
401,CHN,06,18.19239705
402,CHN,07,20.4352832
403,CHN,08,19.4161113
404,CHN,09,15.07385995
405,CHN,10,8.12335678
406,CHN,11,0.528912017
407,CHN,12,-5.858341225
408,CIV,01,26.54568735
409,CIV,02,28.27715735
410,CIV,03,28.527155900000004
411,CIV,04,28.20578365
412,CIV,05,27.399073800000004
413,CIV,06,26.17609415
414,CIV,07,25.241935599999998
415,CIV,08,24.9002846
416,CIV,09,25.4293487
417,CIV,10,26.1539725
418,CIV,11,26.73068165
419,CIV,12,26.2706827
420,CMR,01,24.780574
421,CMR,02,26.37149655
422,CMR,03,27.07453105
423,CMR,04,26.5321411
424,CMR,05,25.59779355
425,CMR,06,24.43838785
426,CMR,07,23.60705805
427,CMR,08,23.364355449999998
428,CMR,09,23.6212782
429,CMR,10,24.10554485
430,CMR,11,24.57878325
431,CMR,12,24.3822163
432,COD,01,24.602948950000002
433,COD,02,25.12842035
434,COD,03,24.891664650000003
435,COD,04,24.5933132
436,COD,05,24.7259875
437,COD,06,24.31363065
438,COD,07,24.235834500000003
439,COD,08,24.5056216
440,COD,09,24.5579653
441,COD,10,24.30218535
442,COD,11,23.88509435
443,COD,12,24.059428
444,COG,01,25.400486649999998
445,COG,02,25.896744849999997
446,COG,03,26.0253595
447,COG,04,25.87026065
448,COG,05,25.5328427
449,COG,06,24.5329364
450,COG,07,23.959052
451,COG,08,24.207926750000002
452,COG,09,24.59634575
453,COG,10,24.81801945
454,COG,11,24.874770599999998
455,COG,12,25.04986755
456,COK,01,25.79484715
457,COK,02,26.1354859
458,COK,03,26.26243445
459,COK,04,25.7089386
460,COK,05,24.76637745
461,COK,06,23.75645905
462,COK,07,23.0732361
463,COK,08,22.62864075
464,COK,09,23.012866199999998
465,COK,10,23.35327155
466,COK,11,24.1876769
467,COK,12,25.07762905
468,COL,01,24.505471399999998
469,COL,02,24.9530324
470,COL,03,24.6657714
471,COL,04,24.334326400000002
472,COL,05,24.02583955
473,COL,06,23.631722149999998
474,COL,07,23.5368704
475,COL,08,23.8765086
476,COL,09,24.192676249999998
477,COL,10,24.2034876
478,COL,11,24.15182365
479,COL,12,24.225386
480,COM,01,26.243998299999998
481,COM,02,26.173641250000003
482,COM,03,26.330475999999997
483,COM,04,26.128197899999996
484,COM,05,25.30905465
485,COM,06,24.13677775
486,COM,07,23.3524684
487,COM,08,23.35323065
488,COM,09,23.90551225
489,COM,10,24.9380181
490,COM,11,25.920347550000002
491,COM,12,26.36108835
492,CPV,01,21.28855805
493,CPV,02,20.60559565
494,CPV,03,20.68662995
495,CPV,04,21.2088356
496,CPV,05,21.8579565
497,CPV,06,22.5539299
498,CPV,07,23.747991
499,CPV,08,25.04378565
500,CPV,09,25.64157745
501,CPV,10,25.3985144
502,CPV,11,24.231538699999998
503,CPV,12,22.6312304
504,CRI,01,22.396703600000002
505,CRI,02,22.715564
506,CRI,03,23.258811950000002
507,CRI,04,23.88992335
508,CRI,05,23.95856795
509,CRI,06,23.67650715
510,CRI,07,23.48350175
511,CRI,08,23.47109575
512,CRI,09,23.385445150000002
513,CRI,10,23.10743325
514,CRI,11,22.7403959
515,CRI,12,22.5693234
516,CUB,01,23.0366827
517,CUB,02,23.42782545
518,CUB,03,24.1313815
519,CUB,04,25.5216445
520,CUB,05,26.34018115
521,CUB,06,27.235330799999996
522,CUB,07,27.862089400000002
523,CUB,08,27.90679645
524,CUB,09,27.3935315
525,CUB,10,26.4136236
526,CUB,11,24.7711905
527,CUB,12,23.8331157
528,CYM,01,25.3889877
529,CYM,02,25.298181149999998
530,CYM,03,25.52083275
531,CYM,04,26.341653450000003
532,CYM,05,27.0651077
533,CYM,06,27.91475975
534,CYM,07,28.5055602
535,CYM,08,28.663406400000003
536,CYM,09,28.4704834
537,CYM,10,27.736474500000003
538,CYM,11,26.8216613
539,CYM,12,26.13094935
540,CYP,01,11.996003025
541,CYP,02,12.46786425
542,CYP,03,14.436889350000001
543,CYP,04,17.65651805
544,CYP,05,21.4805156
545,CYP,06,25.46959025
546,CYP,07,28.478099299999997
547,CYP,08,28.647528549999997
548,CYP,09,26.14409875
549,CYP,10,22.351016100000002
550,CYP,11,17.768371350000002
551,CYP,12,13.952775025
552,CZE,01,-0.7788194144999999
553,CZE,02,0.41101554050000005
554,CZE,03,3.8970462269999997
555,CZE,04,8.945330325
556,CZE,05,13.10773005
557,CZE,06,17.33433355
558,CZE,07,19.08044835
559,CZE,08,18.40204865
560,CZE,09,14.117558825
561,CZE,10,9.093187015
562,CZE,11,4.25226088
563,CZE,12,0.666171815
564,DEU,01,1.3114314889999998
565,DEU,02,2.0440789809999997
566,DEU,03,4.972102078000001
567,DEU,04,9.324034535
568,DEU,05,13.3105838
569,DEU,06,17.15714235
570,DEU,07,18.85748405
571,DEU,08,18.167179875
572,DEU,09,14.6068025
573,DEU,10,10.245734924999999
574,DEU,11,5.492617395
575,DEU,12,2.5660743305000002
576,DJI,01,23.3105933
577,DJI,02,24.2727424
578,DJI,03,26.28488835
579,DJI,04,28.4318394
580,DJI,05,31.2187575
581,DJI,06,33.701402
582,DJI,07,33.14771025
583,DJI,08,32.05219775
584,DJI,09,32.15539945
585,DJI,10,28.5069275
586,DJI,11,25.7431847
587,DJI,12,23.8843558
588,DNK,01,2.1818765945
589,DNK,02,2.0148260445
590,DNK,03,3.6932079279999996
591,DNK,04,7.363646045
592,DNK,05,11.559527724999999
593,DNK,06,15.046606375
594,DNK,07,17.135694
595,DNK,08,16.87864385
596,DNK,09,14.28815435
597,DNK,10,10.4078744
598,DNK,11,6.50066841
599,DNK,12,3.6106616099999997
600,DOM,01,22.637893249999998
601,DOM,02,22.830944350000003
602,DOM,03,23.313186100000003
603,DOM,04,24.15685895
604,DOM,05,24.886209299999997
605,DOM,06,25.7092193
606,DOM,07,25.977688699999998
607,DOM,08,26.070968649999998
608,DOM,09,25.82840085
609,DOM,10,25.2805735
610,DOM,11,24.197217849999998
611,DOM,12,23.2009991
612,DZA,01,12.336660725
613,DZA,02,15.178712325000001
614,DZA,03,19.5441402
615,DZA,04,24.5046697
616,DZA,05,28.9073354
617,DZA,06,32.915052
618,DZA,07,35.14219655
619,DZA,08,34.21666735
620,DZA,09,30.960742
621,DZA,10,25.3612022
622,DZA,11,18.3580624
623,DZA,12,13.560445175000002
624,ECU,01,21.407444849999997
625,ECU,02,21.571234699999998
626,ECU,03,21.567928950000002
627,ECU,04,21.54552995
628,ECU,05,21.23855595
629,ECU,06,20.496164049999997
630,ECU,07,20.1559975
631,ECU,08,20.34555675
632,ECU,09,20.7345077
633,ECU,10,20.979034
634,ECU,11,21.06659385
635,ECU,12,21.2682652
636,EGY,01,13.432378025
637,EGY,02,15.52895255
638,EGY,03,19.2936202
639,EGY,04,23.70553455
640,EGY,05,27.6311037
641,EGY,06,30.39803415
642,EGY,07,31.06643555
643,EGY,08,31.3543295
644,EGY,09,29.02653945
645,EGY,10,24.959731299999998
646,EGY,11,19.41080035
647,EGY,12,15.11923825
648,ERI,01,23.0799456
649,ERI,02,24.3099232
650,ERI,03,26.3947916
651,ERI,04,28.6888243
652,ERI,05,30.10955715
653,ERI,06,30.47975055
654,ERI,07,28.91041685
655,ERI,08,27.918468100000002
656,ERI,09,28.5671559
657,ERI,10,27.844414649999997
658,ERI,11,25.964749349999998
659,ERI,12,23.8775873
660,ESP,01,6.389652945
661,ESP,02,7.535803799999999
662,ESP,03,9.952556075
663,ESP,04,12.6852149
664,ESP,05,16.40699935
665,ESP,06,20.60623515
666,ESP,07,23.8050995
667,ESP,08,23.55193285
668,ESP,09,19.675648250000002
669,ESP,10,15.65092995
670,ESP,11,10.148222825000001
671,ESP,12,7.25322922
672,EST,01,-3.6960769049999995
673,EST,02,-3.861949123
674,EST,03,-0.487118245
675,EST,04,5.22509318
676,EST,05,11.267597425
677,EST,06,15.684671750000001
678,EST,07,18.1227298
679,EST,08,17.00398315
680,EST,09,12.63492585
681,EST,10,6.99764979
682,EST,11,2.8281896355000002
683,EST,12,-0.8171301255
684,ETH,01,23.10349435
685,ETH,02,24.4563843
686,ETH,03,25.30127675
687,ETH,04,24.9539956
688,ETH,05,24.4718464
689,ETH,06,24.044141500000002
690,ETH,07,22.88509805
691,ETH,08,22.90057095
692,ETH,09,23.651600600000002
693,ETH,10,23.174916250000003
694,ETH,11,22.646740299999998
695,ETH,12,22.6299603
696,FIN,01,-8.436743074999999
697,FIN,02,-8.154771705
698,FIN,03,-4.213977186999999
699,FIN,04,1.7290190795
700,FIN,05,8.405706455
701,FIN,06,13.65003705
702,FIN,07,16.324372500000003
703,FIN,08,14.4748985
704,FIN,09,9.471307125
705,FIN,10,3.1939451615
706,FIN,11,-1.4580180459999998
707,FIN,12,-5.242408385
708,FJI,01,25.88037515
709,FJI,02,25.9776477
710,FJI,03,25.7799135
711,FJI,04,25.41177995
712,FJI,05,24.38812385
713,FJI,06,23.67574185
714,FJI,07,22.9874874
715,FJI,08,22.98640495
716,FJI,09,23.6113657
717,FJI,10,24.17815775
718,FJI,11,24.894421549999997
719,FJI,12,25.45103465
720,FLK,01,10.39513455
721,FLK,02,10.2750471
722,FLK,03,9.306816525
723,FLK,04,7.251452039999999
724,FLK,05,5.48228407
725,FLK,06,3.7464529650000005
726,FLK,07,3.04204787
727,FLK,08,3.48017422
728,FLK,09,4.471997385
729,FLK,10,6.09558819
730,FLK,11,7.81974194
731,FLK,12,9.257504885
732,FRA,01,7.0806627849999995
733,FRA,02,7.75330097
734,FRA,03,10.1453591
735,FRA,04,12.8750013
736,FRA,05,15.7326493
737,FRA,06,19.10058355
738,FRA,07,20.847989300000002
739,FRA,08,20.4310082
740,FRA,09,17.937088499999998
741,FRA,10,14.846951025000001
742,FRA,11,10.58442385
743,FRA,12,7.842496735
744,FRO,01,4.70889279
745,FRO,02,4.58318814
746,FRO,03,4.723224034999999
747,FRO,04,5.634089625
748,FRO,05,7.114206315
749,FRO,06,9.22960945
750,FRO,07,10.663486774999999
751,FRO,08,10.95997015
752,FRO,09,10.1042203
753,FRO,10,8.224616535
754,FRO,11,6.370960215
755,FRO,12,5.026436485
756,GAB,01,25.390345
757,GAB,02,25.670110799999996
758,GAB,03,25.771511600000004
759,GAB,04,25.713946349999997
760,GAB,05,25.38443575
761,GAB,06,24.32003645
762,GAB,07,23.5729159
763,GAB,08,23.865776450000002
764,GAB,09,24.5909367
765,GAB,10,24.80038875
766,GAB,11,24.854163399999997
767,GAB,12,25.0595798
768,GBR,01,4.59231251
769,GBR,02,4.819749605
770,GBR,03,5.9670234749999995
771,GBR,04,8.122027395
772,GBR,05,11.011269
773,GBR,06,13.850207375
774,GBR,07,15.571913349999999
775,GBR,08,15.134202949999999
776,GBR,09,13.427437800000002
777,GBR,10,10.68571305
778,GBR,11,7.16683412
779,GBR,12,5.2101866375
780,GEO,01,-2.4635345365
781,GEO,02,-0.92268033975
782,GEO,03,2.6730461625
783,GEO,04,7.67731053
784,GEO,05,12.4236818
785,GEO,06,17.1172964
786,GEO,07,19.390299300000002
787,GEO,08,19.9222434
788,GEO,09,15.455256
789,GEO,10,9.87154628
790,GEO,11,3.8010896950000004
791,GEO,12,-0.5508665342000001
792,GHA,01,27.698088050000003
793,GHA,02,29.60521775
794,GHA,03,30.1014465
795,GHA,04,29.612496900000004
796,GHA,05,28.571097650000002
797,GHA,06,27.068761000000002
798,GHA,07,26.02148195
799,GHA,08,25.5812547
800,GHA,09,25.9782006
